pid,function declaration,parameter,exception handling,operator,external class,argument,comment,function call,externally defined variable or function,conditional statement,conditional block
136,0.0333344999235123,0.20667635006830082,0.0,0.0,0.0467761290454936,0.11338933335024509,0.0346164615609898,0.0900393724395875,0.1006653421729997,0.0416685555699384,0.12258429851074351
176,0.0499999998137354,0.0,0.0,0.0,0.0446449285872014,0.058336166664958,0.0250023999717086,0.1450412856703179,0.0541677666207153,0.3272353999937572,0.18472957587095357
155,0.0,0.0238094285596162,0.0619467666547279,0.0333390000159852,0.0833450000500306,0.30000950002189086,0.1250038333334183,0.1592673055428247,0.1427813999704084,0.25834949998534273,0.2883395999902856
117,0.066669000002245,0.0666679998976178,0.0777834166801766,0.0166669999598525,0.0750033333121488,0.025001499991049,0.0333349999855272,0.0731499166706473,0.11250492853495009,0.096875999959593,0.9472566666469596
166,0.0,0.1434083750258044,0.0555570000239337,0.0,0.0166660000104457,0.0666700000874698,0.0333360000513494,0.0416692500002682,0.0416696666274218,0.1666809998569077,0.19639651676795108
317,0.0250004999979864,0.0,0.0,0.0,0.0,0.0833389999752397,0.0,0.0944490000062311,0.1055583333266742,0.0357150357387061,0.0708432499959598
168,0.0,0.0277778333499251,0.0,0.0,0.0250007500289939,0.0416689999983645,0.0500045000226236,0.0166664999851491,0.0222220000190039,0.0,0.0361104999950233
319,0.0,0.0,0.0,0.0,0.0333335000323131,0.0,0.0,0.0638926666773233,0.0,0.0,0.0
186,0.0,0.0166669999598525,0.0,0.0,0.0166680000023916,0.08354789743838731,0.0166670000180602,0.07430791661762559,0.0647098529546329,0.100003416679101,0.150285038903045
182,0.1458425000309943,0.1194494999654124,0.0583404999633785,0.0,0.0416729999851668,0.0166663333269146,0.0,0.10309800000395619,0.0166685000003781,0.1777860000535534,0.0833339999856737
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0350005999905988,0.0500004999557858,0.0,0.0,0.0666682857388098,0.08958462503505861,0.0166670000180602,0.0375011666619684,0.0466667999979108,0.0833345999941229,0.1246572083279412
111,0.1444479999894004,0.10833849998016361,0.1354292500018345,0.0277773333267153,0.0300023999996483,0.1093765000150596,0.0166669999962323,0.11403311410704639,0.1392937857069357,0.14625955000992671,0.050001000005674104
313,0.0,0.0,0.0333365000115009,0.029168999993999,0.016674000013154,0.09999933333407761,0.0,0.1345991969541168,0.0,0.0683337499678599,0.11111541664043499
315,0.0499920000438578,0.1513938333082476,0.0,0.0166670000180602,0.0166708333126734,0.1555608333825752,0.0291662500094389,0.0212121818225238,0.08205161541431699,0.0708360000862738,0.11968008465863411
133,0.0388896664759764,0.2429295999638268,0.0,0.0527823333783696,0.0309033333226883,0.1265471896719089,0.0266660000197589,0.1196458214378382,0.0666685000178403,0.117873422278919,0.1569697611099856
143,0.0539690476074437,0.0250009999726898,0.0333319999626836,0.0,0.0318207272714723,0.038888999988557604,0.0,0.0611183333191242,0.0333340000070165,0.0166679999965708,0.0
311,0.0,0.0,0.0500010000541806,0.0240753333265375,0.0166660000104457,0.0166670000180602,0.0333330000285059,0.0749989999458192,0.1083347499952651,0.0,0.0
314,0.030001600011019,0.0333359999931417,0.0,0.0,0.016666499999701,0.0500020000181393,0.0166670000180602,0.0333340000167178,0.15416924998135068,0.0166673333248278,0.0416659999900729
106,0.0166660000104457,0.0416669999831355,0.0,0.0166669999889563,0.0208331666653975,0.0437513749857315,0.0166649999834286,0.07083409999177079,0.0277776666674374,0.06667499998002299,0.033332999999402
318,0.0,0.0500079999619628,0.0,0.0,0.0,0.0,0.0833400000119581,0.0,0.0,0.0166660000104457,0.1111160000630964
147,0.0450022999546489,0.11932156062208701,0.0472233333469679,0.0,0.0261913571406954,0.0583361111219144,0.0249995000194758,0.0969479000279937,0.062502749991836,0.1030597999672559,0.37918114995118213
191,0.0472209999958673,0.0805650417217595,0.0333319999044761,0.0249999999650754,0.0357646250001077,0.1350107999809551,0.0277783333634336,0.0666726666968315,0.0558342249685665,0.1197639999046389,0.0666666665929368
189,0.0166670000180602,0.0666672500010462,0.0166670000180602,0.0,0.03148200000093,0.1035779571372715,0.0333342857193201,0.0312511249976523,0.058752450007886994,0.1130964285631696,0.2036443846178354
316,0.0333355000184383,0.1841750833613331,0.0,0.0,0.0365099523887259,0.0166670000180602,0.0166672500054119,0.0354166249962872,0.033341000031214096,0.0833390000625513,0.0388916666464258
312,0.0,0.0,0.0,0.0,0.0916700000234413,0.06859680763983081,0.0,0.0766688000177964,0.0583364999038167,0.0250004999688826,0.0333334999741055
139,0.0833370000000286,0.196114366667522,0.0944460000003649,0.0666703333329981,0.0500019999997473,0.12000843289985551,0.0666703333333013,0.13124696935460028,0.10908765161349679,0.1836842499986534,0.1985301777766329
