pid,function declaration,parameter,conditional statement,conditional block
136,0.0416670000413432,0.0166670000180602,0.1805641666287554,0.3232729165989437
176,0.1454925833822924,0.2768175583080542,0.1877895750318807,0.4196897601798318
155,0.0833386666878747,0.1187513333764702,0.1125059999467339,0.0500039999606087
117,0.0626624285841198,0.1321641282015777,0.1253191772424156,0.0976867459969415
166,0.0,0.0,0.0233314000070095,0.3176554334563354
317,0.0300004000193439,0.0833349999156779,0.1416713332776754,0.3114090999287627
168,0.0458340000041061,0.0333319999626837,0.072221333325918,0.1586395476520657
319,0.0,0.0,0.0,0.0249984999536536
186,0.0,0.0,0.0,0.0
182,0.1097239999799057,0.0166689999750815,0.3527923333458601,0.0
310,0.0,0.0,0.0,0.0
129,0.0690509999985806,0.0958370000104574,0.4597360000140418,0.2036951165281087
111,0.1140915158757129,0.1116669333277968,0.592733178966198,0.3986250714056253
313,0.125004000015906,0.1400024000050809,0.1870926000119649,0.2333429999998769
315,0.0208343750055064,0.1012895384606402,0.1779883690580301,0.2126319880669357
133,0.04583525005728,0.052783166601633,0.1097226666752247,0.1865092619887682
311,0.0375013333493067,0.1166706666117534,0.1166697500302689,0.2025290367574513
314,0.0250015000128769,0.0583315000258153,0.0814842222268148,0.4147711410015544
106,0.040231689657205,0.082295125004748,0.1291055166460862,0.1677101249406402
318,0.0800018000300042,0.0555583333286146,0.0833370833618876,0.1055631666677071
147,0.0423630833053417,0.1083434999454765,0.1281324999144997,0.3802243540485503
191,0.1039719285008252,0.1000059999059884,0.1126258143506543,0.1069486666140921
189,0.0916677499990327,0.0642868571532224,0.1316427721401834,0.2881413827607051
316,0.0597270000192413,0.0666649999911896,0.1208360000018728,0.0166670000180602
139,0.2193063684208027,0.1494576386373683,0.7065743529954094,0.4313971888412928
