pid,function declaration,parameter,conditional statement,conditional block
136,0.0166660000104457,0.0,0.0805599998113595,0.1616477064270938
176,0.1118872870369899,0.0920689523253322,0.140799242904454,0.3883645320037621
155,0.1159770833376872,0.0977586538669688,0.2267661266463377,0.281733276449094
117,0.0488121071601718,0.0583334999973885,0.0755879473612079,0.1227826333022676
166,0.0,0.0,0.0981279000300369,0.4884890012770327
317,0.068754791667743,0.1040337307898039,0.1038853128336851,0.197229987047505
319,0.0,0.0,0.0,0.1666771998628973
186,0.0670890000357757,0.0712513000296894,0.0627801333321258,0.1885643174746145
182,0.1102810333424713,0.0824586210784648,0.0479196250162203,0.0166666666821887
310,0.0,0.0,0.0633350000251083,0.0694450000495028
111,0.1535091508063948,0.1020859999953243,0.2298700833404531,0.0907678749943441
313,0.0696774583440046,0.0747884220973581,0.0913155585112431,0.1540348037100486
315,0.0349219999847091,0.0703772222364527,0.0723183388970533,0.192357719672964
133,0.0654174500610678,0.0670630952254646,0.0522722727619111,0.128341000061482
143,0.0638902619019582,0.0,0.0856252249934184,0.0944270621979225
314,0.0322229999951863,0.0,0.1072956458416834,0.1067552619116169
106,0.089145060594257,0.0764928928547305,0.0932557619193435,0.1205342727440768
318,0.0208359999960521,0.0250024999841116,0.0875044999847886,0.0472220833617029
147,0.0673105641304012,0.0166669999598525,0.1086246552094335,0.1978500265333635
191,0.0511915713848013,0.0767395832808687,0.1147396332739539,0.1366900367987616
189,0.0,0.0,0.0980222797267395,0.1383259819643174
316,0.0416680500100483,0.0499990000389516,0.1211676949075543,0.1079431904903942
139,0.0608717391300476,0.1177482962949834,0.1493581089197945,0.4055641866900094
