pid,function declaration,exception handling,external class,function call,argument,parameter,comment
136,0.0666689998004584,0.0388889998042334,0.2540764165155233,0.1763464344867747,0.0166660000104457,0.0416691999882459,0.0
186,0.0333350000437349,0.0,0.0,0.0508364000124856,0.0,0.0,0.0
318,0.016666499999701,0.0,0.06666749998112201,0.04166849993634961,0.0,0.0,0.0166660000104457
