pid,function declaration,parameter,conditional statement,return,variable declaration,loop,conditional block
136,0.0166680000256747,0.0,0.081251333283338,0.0819479999598113,0.0666677500121295,0.2913068779770074,0.0
176,0.1199536470792199,0.0520853750058449,0.2059717230263603,0.0366672000382095,0.1151833035608952,0.3250102501478975,0.0
155,0.0166670000180602,0.0,0.4790829976555025,0.1044220757806516,0.090001799975289,0.6711409920760403,0.1183382857322048
117,0.1193420799542216,0.0,0.319659134650301,0.0916739000182133,0.1527813334056795,0.2559633928363573,0.0
166,0.0680610000078255,0.0312517500424291,0.3134713238168927,0.1462989920761344,0.0354177499830257,0.3715580879805857,0.089819111143394
317,0.0333470000186935,0.0500003333824375,0.2353042793790029,0.1111165000086959,0.0,0.1933388999430459,0.0623823713893735
168,0.0300033999956212,0.0,0.2706059381501591,0.0697958749733516,0.0472233333081626,0.218515314300644,0.0333390000159852
319,0.0,0.0,0.2555553332398022,0.0,0.0833389999461359,0.3388993332240108,0.0
182,0.0916717142543001,0.0166665000142529,0.3180521460857039,0.0730421176515793,0.2053582000423613,0.241368456036754,0.041670000005979
310,0.0,0.0,0.0166709999321028,0.0,0.0,0.0333330000285059,0.0
129,0.0527823333492657,0.0472254999913275,0.2633416333798472,0.1055586666916496,0.10833824997826,0.2791762501001357,0.1500070000183767
111,0.1020471666617372,0.0,0.1027799166646823,0.0,0.1011939404785758,0.2263919166568178,0.0
313,0.0940756666752146,0.0250002500033588,0.6095823448099373,0.0055553333368152,0.0444456666737096,0.4380715928687655,0.0725038000222411
315,0.0266666000126861,0.0166669999598525,0.2501409586994821,0.1116221571963145,0.0500004999921656,0.3627473193903111,0.020833250004216
133,0.0702415714040398,0.0250005000270903,0.3313143821184831,0.0798712917021474,0.1283353333051004,0.4264099165071017,0.0811798118246608
143,0.0708359999844105,0.0222231666703009,0.2443229948983147,0.1029784285731563,0.0571449143088621,0.1194477499908921,0.0847249999804059
311,0.0761055185860507,0.0259270000064538,0.1355188332977591,0.0233338999794796,0.0861116666540812,0.0800109999952836,0.0333329999702982
314,0.0433350999868707,0.033332999999402,0.2893191083703032,0.0712991111197172,0.1266728499889722,0.1872543712403661,0.0666700000001583
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.0,0.0,0.0,0.0,0.0,0.0499970000237226,0.0
147,0.0549613571562248,0.035718142886513,0.228612416712955,0.0333340000361204,0.0500035000732167,0.1610374334478926,0.0333400000818073
191,0.0527841667062602,0.0,0.0734166285821369,0.041671499959193,0.0999979999614879,0.2800694213151773,0.0779462941424627
189,0.0250039999955333,0.0416684999800053,0.1577500014632619,0.0850047666647392,0.033332999999402,0.2660794285256994,0.0587893454823642
316,0.0222230000072158,0.0250033333431929,0.1097220833762547,0.0,0.0583380000316537,0.0444459999950292,0.0
139,0.1147028909100878,0.0319450833335395,0.2977326730769625,0.099999499999285,0.1051416666666227,0.3762595666674615,0.1000057500000365
