pid,function declaration,variable declaration,loop,conditional statement
136,0.1138938333218295,0.2932442750357285,0.1238496638084243,0.0773842143327263
155,0.0763940000227496,0.6180647499878729,0.2905618666399577,0.1166790000279433
117,0.1908782619464631,0.258357551227956,0.0388889999788564,0.0
166,0.0,0.17084099992644,0.3100205001576487,0.0500084999366663
317,0.0,0.3038971000021165,0.1234891363895835,0.1547612856957129
168,0.0916674999753013,0.0783349999343043,0.0638909999397582,0.0666659999988041
319,0.0,0.0700028999825008,0.0633365999208762,0.0
186,0.0,0.0333339999779127,0.0444441666768397,0.0222230000072158
182,0.0895853333155778,0.3268636332138573,0.0,0.0
310,0.0,0.0,0.0166679999092593,0.0
129,0.0681841182030356,0.530529721832066,0.127780666623342,0.0500015999889001
111,0.1055592916691237,0.5583306527513346,0.2277878333266316,0.0777765000069241
313,0.1094734090923641,0.4488693012692221,0.210800984875286,0.0666664999880593
315,0.0500042499770643,0.3468775332898881,0.0761917142330535,0.0333339999779127
133,0.0606756140968124,0.4978409418670519,0.1700061524054032,0.0888919871336277
143,0.0642635999958857,0.2880872191785322,0.0958360000149695,0.0583363333328936
314,0.0416673749969049,0.2984576502038091,0.0233356000040657,0.0722273332939948
106,0.0569472499919356,0.3590971428466702,0.0833357999431121,0.0555626666755415
318,0.0972294999907413,0.0500050000264309,0.0333354999893344,0.0166669999598525
147,0.084102565042364,0.4009137930223276,0.1250031742542472,0.0466667000204324
189,0.0566693999979179,0.4179984908355223,0.2309647619182384,0.1169792963008619
316,0.0886695999326183,0.2712663980008621,0.0500089999404735,0.0
312,0.0629317068619298,0.4230069301881073,0.030953714291432,0.1107238571275954
139,0.1309000877185449,0.6279725902989177,0.2840427938304771,0.1093104480529857
