pid,function declaration,exception handling,externally defined variable or function,function call,argument,variable declaration
155,0.1361138666805345,0.0703708888807643,0.43874594119857757,0.2109143997281449,0.252784208326678,0.23655171031869368
317,0.0438595789478552,0.0516686999937518,0.0166680000256747,0.1416217447025327,0.30918309036166886,0.2573146547663432
111,0.0309517142969915,0.0277773333218647,0.1174616190408066,0.13371940416952072,0.0652853333400949,0.3031791904774891
315,0.0717971538490532,0.0361098333475334,0.0,0.1654330762531986,0.27642902378879786,0.179175875004148
133,0.06930768022424649,0.0694460000377148,0.0406676400173455,0.24404263540408472,0.5680859168448172,0.11666700011119241
311,0.0759285555751476,0.0666670000646263,0.0958366250027512,0.10500180004940671,0.0499999999301507,0.1458355000359005
314,0.146869937520023,0.1000002500113623,0.058336500020232,0.16048281063360081,0.3472363333178993,0.0499995000282069
318,0.0166650000028312,0.0333354999602306,0.0,0.0299986000056378,0.0566677000315394,0.0
147,0.058334908987903306,0.0833396999980322,0.0683341999712865,0.17840570976702003,0.137866374577898,0.16389225559735962
191,0.0715956590958573,0.0555656666401773,0.0960339523485993,0.16032762088762642,0.1946971092397824,0.28364285733135003
312,0.1166690000100061,0.0,0.033333999919705,0.1291679583033934,0.2027866249409269,0.0500034999568015
